ID,CÓDIGO,NOME PARLAMENTAR,NOME CIVIL,N PROCESSO,CLASSE,LEGISLATURA,LISTA_FACHIN
168,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,478,AP,2006-2010,
169,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,541,AP,2006-2010,
170,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,417,AP,2006-2010,
171,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,2694,Inq,2006-2010,
172,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,2648,Inq,2006-2010,
173,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,2478,Inq,2006-2010,
174,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,2623,Inq,2006-2010,
175,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,2569,Inq,2006-2010,
176,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,2514,Inq,2006-2010,
177,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,2605,Inq,2006-2010,
178,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,2745,Inq,2006-2010,
179,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,2672,Inq,2006-2010,
180,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,2673,Inq,2006-2010,
181,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,2820,Inq,2006-2010,
182,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,2503,Inq,2006-2010,
183,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,2968,Inq,2006-2010,
